emp_no,first_name,last_name,title,from_date,to_date
80600,Yongdong,Werthner,Engineer,1985-06-30,1992-06-30
80637,Eishiro,Larfeldt,Senior Staff,1985-08-01,9999-01-01
80833,Jaihie,Demri,Senior Engineer,1985-07-13,9999-01-01
80896,Paloma,Hardjono,Senior Staff,1985-05-16,9999-01-01
80937,Chikako,Jiang,Senior Staff,1985-08-09,9999-01-01
80980,Hyuncheol,Stentiford,Staff,1985-08-23,1991-08-23
81031,Fumiya,Bennet,Senior Staff,1985-11-07,1996-12-19
81104,Marc,Grabner,Technique Leader,1985-02-06,2000-02-23
81149,Tianruo,Georg,Assistant Engineer,1985-09-29,1994-09-29
81167,Yurij,Francisci,Staff,1985-04-10,1991-04-10
81201,Werner,Knightly,Staff,1985-07-11,1993-07-11
81207,Barry,Hofstetter,Engineer,1985-07-02,1991-07-02
81264,Dannz,Erdmenger,Staff,1985-09-19,1993-09-19
81363,Selwyn,McAffer,Staff,1985-04-11,1990-04-11
81412,Zhenhua,Menyhert,Staff,1985-02-13,1994-02-13
81440,Fumitake,Melski,Engineer,1985-03-09,1993-03-09
81508,Bokyung,Janocha,Staff,1985-12-17,1993-12-17
81527,Arnd,Bouloucos,Staff,1985-07-09,1991-07-09
81592,Monique,Rehfuss,Senior Staff,1985-09-30,9999-01-01
81610,Abdulah,Stifter,Engineer,1985-07-08,1990-07-08
81636,Tomokazu,Koshiba,Staff,1985-08-10,1991-08-10
81648,Jungsoon,Doering,Engineer,1985-02-19,1994-02-19
81810,Baruch,Schaap,Technique Leader,1985-04-12,9999-01-01
81847,Ymte,Figueira,Senior Engineer,1985-08-04,9999-01-01
81944,Matk,Valtorta,Staff,1985-11-16,1994-11-16
82002,King,Farris,Staff,1985-05-23,1993-05-23
82137,Panayotis,Thibadeau,Staff,1985-03-17,1991-03-17
82139,Satoru,Zucker,Engineer,1985-12-17,1992-12-17
82140,Shem,Peir,Staff,1985-08-10,1989-07-31
82310,Jinxi,Panangaden,Engineer,1985-02-21,1990-02-21
82341,Naftali,Czap,Assistant Engineer,1985-08-19,1993-08-19
82379,Sanjai,Bala,Engineer,1985-03-15,1994-03-15
82460,Claude,Zhang,Engineer,1985-05-09,1992-05-09
82478,Vishwani,Ginneken,Engineer,1985-03-19,1991-03-19
82572,Moie,Brattka,Staff,1985-04-01,1993-04-01
82598,Palash,Chenoweth,Engineer,1985-05-25,1992-05-25
82755,Takahira,Barriga,Staff,1985-10-04,1989-03-19
82808,Sumant,Reinhart,Senior Engineer,1985-09-11,9999-01-01
82824,Gopalakrishnan,Wiegley,Technique Leader,1985-06-11,1993-07-10
82834,Kersti,Lieblein,Engineer,1985-06-05,1991-06-05
82835,Jaber,Dredge,Assistant Engineer,1985-04-17,1990-04-17
82849,Makato,VanScheik,Staff,1985-10-12,1992-10-12
82905,Domenick,Luks,Engineer,1985-08-19,1991-08-19
82906,Kristinn,Schwartzburd,Staff,1985-04-06,1990-04-06
82996,Shahab,Ramras,Engineer,1985-11-07,1994-11-07
82998,Mary,Linares,Staff,1985-03-26,1990-03-26
83057,Niteen,Passafiume,Staff,1985-12-19,1993-12-19
83092,Bernt,Kranzdorf,Engineer,1985-04-20,1993-04-20
83106,Limsoon,Wossner,Assistant Engineer,1985-10-20,1991-10-20
83284,Genta,Ghalwash,Engineer,1985-12-12,1991-12-12
83304,Lenore,Pocchiola,Staff,1985-09-14,1990-09-14
83334,Arno,Thebaut,Senior Staff,1985-05-31,9999-01-01
83493,Oksana,Danlos,Senior Engineer,1985-05-30,9999-01-01
83574,Gonzalo,Masamoto,Staff,1985-10-10,1994-10-10
83614,Takanari,Schach,Engineer,1985-10-05,1992-10-05
83634,Danae,Randi,Staff,1985-06-24,1993-06-24
83698,Adib,Krohn,Senior Staff,1985-11-17,9999-01-01
83730,Dharmaraja,Lorie,Senior Staff,1985-12-20,9999-01-01
83747,Kristine,Schwabacher,Staff,1985-08-26,1990-08-26
83783,Mayuri,Baranowski,Staff,1985-06-27,1990-06-27
83787,Xuejia,Lanzelotte,Staff,1985-08-19,1993-08-19
83887,Doohun,Ciolek,Staff,1985-03-17,1994-03-17
83898,Erzsebet,England,Technique Leader,1985-09-04,9999-01-01
83968,Giap,Rando,Engineer,1985-08-31,1993-08-31
83988,Georg,Kruskal,Staff,1985-04-16,1991-04-16
84021,Parviz,Bierbaum,Staff,1985-08-01,1992-08-01
84048,Lillian,Portugali,Technique Leader,1985-06-21,9999-01-01
84058,Huai,Rajcani,Senior Engineer,1985-06-18,1992-08-03
84061,Khaled,Gopalakrishnan,Staff,1985-07-31,1992-07-31
84062,Shuichi,Comyn,Engineer,1985-07-17,1994-07-17
84202,Atreye,Serre,Engineer,1985-10-29,1993-10-29
84268,Kazuhira,Belinskaya,Engineer,1985-05-22,1992-05-22
84292,Leaf,Luff,Engineer,1985-11-03,1990-11-03
84298,Baruch,Roohalamini,Senior Staff,1985-08-02,1990-04-15
84334,Zdislav,Emden,Staff,1985-10-29,1990-10-29
84361,Zijian,Boudaillier,Engineer,1985-10-02,1988-09-17
84393,Marke,Yemenis,Staff,1985-04-23,1990-04-23
84409,Malu,Bierman,Senior Staff,1985-10-31,1991-01-17
84427,IEEE,Valiente,Senior Engineer,1985-04-08,9999-01-01
84458,Toshiko,Molenkamp,Engineer,1985-03-13,1990-08-31
84533,Yurii,Baalen,Engineer,1985-10-02,1993-10-02
84606,Gully,Kawashimo,Engineer,1985-02-17,1993-02-17
84693,Owen,Rikino,Staff,1985-04-23,1985-10-23
84722,Hercules,Slutz,Engineer,1985-12-11,1990-12-11
84797,Tadanori,Baig,Technique Leader,1985-08-27,9999-01-01
84916,Saddek,Jiafu,Staff,1985-06-27,1992-06-27
84976,Eran,Perez,Staff,1985-11-29,1994-11-29
84982,Gino,Biron,Staff,1985-02-03,1992-02-04
84983,Shigeo,Bashian,Engineer,1985-07-09,1992-07-09
85031,Ronghao,Gire,Technique Leader,1985-08-28,1999-12-09
85033,Garnet,Luke,Staff,1985-04-03,1991-04-03
85201,Taiji,Berstel,Staff,1985-03-22,1990-03-22
85202,Guttorm,Erdi,Engineer,1985-09-17,1990-09-17
85217,Qiwen,Casley,Staff,1985-11-18,1990-11-18
85273,Sarita,Morrow,Senior Engineer,1985-11-10,1993-05-14
85281,Tamiya,Grospietsch,Engineer,1985-08-09,1991-08-09
85470,Domenick,Mahmud,Technique Leader,1985-02-10,9999-01-01
85494,Lech,Gulik,Staff,1985-08-16,1992-08-16
85552,Atilio,Perko,Senior Engineer,1985-09-06,9999-01-01
85589,Amstein,Bressoud,Senior Engineer,1985-12-13,9999-01-01
85647,Kristian,Waymire,Staff,1985-11-25,1993-11-25
85680,Otmar,Colorni,Engineer,1985-02-12,1993-02-12
85739,Fumino,Benzaken,Senior Engineer,1985-09-15,9999-01-01
85755,Aloys,Ozeri,Staff,1985-06-01,1993-06-01
85776,Dante,Reutenauer,Staff,1985-05-01,1991-05-01
85807,Lalit,Majewski,Staff,1985-04-24,1992-04-24
85910,Nishit,Lemarechal,Staff,1985-08-09,1992-08-09
86014,Maris,Zeilberger,Technique Leader,1985-04-16,9999-01-01
86060,Arvind,Luce,Staff,1985-10-06,1993-10-06
86139,Arif,Lichtman,Staff,1985-09-24,1994-09-24
86155,Tadahiko,Luke,Technique Leader,1985-02-08,9999-01-01
86222,Alexius,Marquardt,Staff,1985-02-16,1994-02-16
86270,Prodip,Menhoudj,Staff,1985-08-30,1991-08-30
86307,Mariusz,Vendrig,Staff,1985-09-16,1992-09-16
86357,Rosalyn,Sessa,Technique Leader,1985-07-04,9999-01-01
86491,Shuzo,Conta,Engineer,1985-12-18,1990-12-18
86858,Yakkov,Demos,Staff,1985-11-24,1990-11-24
86906,Adel,Fiutem,Senior Engineer,1985-06-07,9999-01-01
86951,Martijn,Coors,Senior Engineer,1985-07-21,9999-01-01
86952,Richard,Oskamp,Staff,1985-04-26,1993-04-26
86970,Hugo,Zizka,Senior Engineer,1985-08-12,9999-01-01
87022,Mario,Eterovic,Engineer,1985-04-11,1993-04-11
87066,Jaber,Zobel,Staff,1985-12-20,1993-12-20
87070,Tsz,Farrow,Senior Engineer,1985-08-31,9999-01-01
87137,Aluzio,Tsunoo,Staff,1985-07-13,1994-07-13
87202,Hatem,Coors,Staff,1985-11-08,1990-11-08
87274,Hilari,Gide,Staff,1985-07-27,1992-07-27
87319,Zita,Bain,Staff,1985-05-23,1993-05-23
87359,Sadok,Bael,Staff,1985-04-12,1993-04-12
87366,Aria,Rubsam,Staff,1985-10-12,1990-10-12
87372,Maren,Stellhorn,Staff,1985-08-13,1994-08-13
87375,Ishfaq,Comyn,Assistant Engineer,1985-04-06,1986-11-03
87426,Yucai,Hmelo,Staff,1985-09-26,1994-09-26
87627,Alagu,Raoux,Senior Staff,1985-04-27,2000-05-29
87640,Shigehito,Swift,Engineer,1985-06-13,1991-06-13
87671,Oldrich,Kandlur,Senior Staff,1985-02-11,9999-01-01
87751,Lakshmi,Frolund,Staff,1985-06-28,1990-06-28
87806,Khatoun,Shokrollahi,Staff,1985-06-22,1991-06-22
87829,Genki,Etalle,Engineer,1985-10-05,1990-10-05
87840,Sungwon,Wendorf,Engineer,1985-08-02,1992-08-02
87851,Aloys,Asser,Staff,1985-05-13,1992-05-13
87864,Gil,Zuberek,Engineer,1985-12-17,1990-05-08
87875,Anneli,Reeker,Engineer,1985-07-24,1991-07-24
87886,Candido,Karnin,Staff,1985-09-27,1991-09-27
88192,Bader,Copas,Staff,1985-05-30,1990-05-30
88260,Miomir,Krzyzanowski,Engineer,1985-09-27,1993-09-27
88287,Parke,Reistad,Engineer,1985-05-31,1992-05-31
88385,Tran,Besancenot,Staff,1985-04-30,1993-04-30
88393,Kauko,Farris,Engineer,1985-11-21,1992-11-21
88441,Mart,Moehrke,Engineer,1985-12-04,1991-12-04
88489,Monique,Soloway,Engineer,1985-07-05,1991-07-05
88495,Wilmer,Molenaar,Senior Staff,1985-02-24,9999-01-01
88597,Zita,Narwekar,Engineer,1985-04-20,1990-04-20
88615,Weicheng,Shrader,Staff,1985-07-30,1991-07-30
88707,Adit,Ermel,Engineer,1985-03-01,1992-03-01
88803,Bikash,Zambonelli,Engineer,1985-09-01,1992-09-01
88830,Shih,Auria,Assistant Engineer,1985-02-04,1990-02-04
89030,Xinglin,Prochazka,Senior Engineer,1985-04-29,9999-01-01
89038,Troy,Kambil,Engineer,1985-07-19,1994-07-19
89112,Kwangho,Zeidenstein,Engineer,1985-03-06,1993-03-06
89136,Poornachandra,Swab,Engineer,1985-12-01,1991-12-01
89148,Mads,Heering,Senior Engineer,1985-08-31,9999-01-01
89232,Remzi,Herath,Staff,1985-07-23,1992-07-23
89315,Susumu,Montemayor,Senior Staff,1985-07-02,9999-01-01
89391,Aram,Steenbeek,Senior Staff,1985-12-10,9999-01-01
89404,Arnd,Peng,Staff,1985-03-22,1990-03-22
89476,Xiaoqiang,Perna,Senior Engineer,1985-05-27,9999-01-01
89480,Palash,Angelov,Staff,1985-10-28,1993-10-28
89531,Sachem,Boguraev,Technique Leader,1985-03-30,9999-01-01
89885,Supot,Zumaque,Senior Engineer,1985-02-22,9999-01-01
89939,Zhongwei,Larfeldt,Staff,1985-05-03,1990-05-03
89969,Conrado,Cappelletti,Staff,1985-12-17,1992-12-17
90013,Guenter,Cappelli,Staff,1985-07-15,1992-07-15
90048,Odinaldo,Duclos,Staff,1985-06-28,1991-06-28
90250,Richard,Sluis,Staff,1985-03-23,1992-03-23
90331,Luerbio,Matheson,Staff,1985-05-17,1989-02-03
90411,Shahid,Gimbel,Senior Staff,1985-11-08,9999-01-01
90436,Zijian,Taubman,Staff,1985-03-25,1993-03-25
90442,Suzette,Merkl,Staff,1985-10-06,1991-10-06
90449,Anestis,Chinen,Senior Staff,1985-04-06,1989-04-11
90480,Fai,Mitina,Engineer,1985-03-18,1993-03-18
90481,Goh,Kemmerer,Staff,1985-11-05,1992-11-05
90559,Amalendu,Schlegelmilch,Staff,1985-10-06,1994-10-06
90572,Naraig,Tokunaga,Engineer,1985-06-28,1992-06-28
90589,Bluma,Reinhard,Engineer,1985-12-01,1990-12-01
90661,Christ,Marquardt,Senior Engineer,1985-05-27,9999-01-01
90673,Younwoo,Hutton,Engineer,1985-07-10,1990-07-10
90680,Frederique,Nyrup,Senior Engineer,1985-10-12,9999-01-01
90687,Babette,Limongiello,Engineer,1985-10-02,1993-10-02
90707,Ibibia,Stasinski,Staff,1985-12-28,1989-08-25
90714,Boriana,Manderick,Senior Staff,1985-10-31,9999-01-01
90738,Pranav,Christianini,Engineer,1985-02-24,1992-02-25
90749,Martins,Vesna,Staff,1985-02-13,1990-02-13
90762,Paris,Choobineh,Staff,1985-07-04,1993-07-04
90889,Berhard,Braccini,Engineer,1985-05-11,1991-05-11
90913,Xiahua,Levergood,Senior Engineer,1985-12-02,9999-01-01
90948,Gully,Matteis,Staff,1985-09-09,1994-09-09
91029,Navin,Crooks,Staff,1985-04-12,1991-04-12
91153,Yefim,Clouatre,Engineer,1985-10-21,1992-10-21
91202,Yonghong,Zlotek,Senior Staff,1985-11-21,1993-04-19
91204,Wanqing,Shigei,Assistant Engineer,1985-06-26,1991-06-26
91208,Anwar,Heyers,Senior Staff,1985-08-05,2002-02-14
91210,Uri,Sabnani,Senior Staff,1985-07-18,1999-12-29
91217,Xuedong,Nilsson,Senior Staff,1985-04-09,9999-01-01
91270,Xiahua,Hiraishi,Assistant Engineer,1985-12-16,1991-12-16
91387,Shakhar,Jumpertz,Engineer,1985-10-28,1993-10-28
91413,Ekawit,Asser,Senior Engineer,1985-02-27,9999-01-01
91541,Slavian,McFarlin,Staff,1985-03-24,1992-03-24
91553,Arfst,Wendorf,Assistant Engineer,1985-04-02,1992-02-06
91563,Hugh,Munos,Engineer,1985-04-14,1990-04-14
91662,Jeane,Riexinger,Staff,1985-07-17,1987-08-06
91702,Kensei,Stanfel,Engineer,1985-11-20,1993-11-20
91720,Phillip,Suwa,Engineer,1985-12-16,1994-12-16
91740,Marie,Mandell,Engineer,1985-06-04,1989-02-03
91871,Selwyn,Androutsos,Engineer,1985-05-01,1990-05-01
91904,Cordelia,Penttonen,Staff,1985-07-15,1990-07-15
92117,Djelloul,Hammerschmidt,Assistant Engineer,1985-10-13,1993-10-13
92232,Hilari,Worfolk,Engineer,1985-09-14,1992-09-14
92313,Xudong,Setia,Staff,1985-10-23,1994-10-23
92322,Jolita,Grospietsch,Staff,1985-09-18,1991-09-18
92373,Angus,Lupu,Engineer,1985-04-14,1994-04-14
92415,Zorica,Lemarechal,Staff,1985-12-30,1991-12-30
92441,Shugo,Bennet,Staff,1985-05-17,1992-05-17
92536,Nitsan,Rouquie,Staff,1985-08-02,1990-08-02
92644,Hideo,Baig,Engineer,1985-05-10,1990-05-10
92790,Flemming,Binding,Engineer,1985-12-21,1992-12-21
92797,Shalesh,Ligten,Staff,1985-02-26,1992-02-27
92898,Gil,Ghazalie,Staff,1985-06-25,1990-06-25
92977,Alair,Naumovich,Staff,1985-10-13,1993-10-13
93017,Gian,Terkki,Engineer,1985-08-21,1990-08-21
93061,Cheong,Matteis,Engineer,1985-10-22,1994-10-22
93103,Ramya,Kermarrec,Staff,1985-07-26,1991-07-26
93107,Martien,Buchter,Senior Engineer,1985-10-31,9999-01-01
93120,Maria,Calkin,Staff,1985-05-21,1991-05-21
93183,Kenton,Marzano,Engineer,1985-11-04,1994-11-04
93189,Neven,Dalton,Engineer,1985-07-17,1993-07-17
93195,Domenico,Baak,Staff,1985-10-30,1992-10-30
93314,Carrsten,Beeson,Engineer,1985-09-29,1992-09-29
93357,Padma,Prochazka,Staff,1985-07-04,1992-07-04
93405,Tamiya,Marrevee,Technique Leader,1985-12-14,9999-01-01
93433,Abdelkader,Tchuente,Staff,1985-04-16,1991-04-16
93448,Dhritiman,Ibel,Engineer,1985-10-13,1992-10-13
93509,Lijie,Perl,Engineer,1985-12-09,1991-12-09
93536,Zhonghua,Zongker,Engineer,1985-07-20,1993-07-20
93576,Xuedong,Thorensen,Staff,1985-06-17,1994-06-17
93622,Oldrich,Felder,Staff,1985-12-03,1991-07-08
93670,Djelloul,Pulkowski,Technique Leader,1985-08-27,9999-01-01
93672,Uinam,Kopetz,Technique Leader,1985-10-16,2002-01-07
93721,Supot,Isaak,Engineer,1985-03-13,1994-03-13
93722,Tetsurou,Kavraki,Staff,1985-03-22,1990-03-22
93825,Rosella,Mitsuhashi,Engineer,1985-08-23,1992-08-23
93960,Xianlong,Seghrouchni,Staff,1985-04-23,1991-04-23
93961,Chaitali,Brickell,Engineer,1985-07-16,1990-03-30
94002,Zeydy,Thambidurai,Staff,1985-04-16,1991-04-16
94028,Bernt,Fraisse,Staff,1985-10-11,1991-10-11
94120,Limsoon,Ohori,Engineer,1985-07-28,1994-07-28
94156,Kristen,Norsworthy,Staff,1985-12-09,1994-12-09
94210,Ekawit,Pouyioutas,Staff,1985-09-29,1990-09-29
94221,Marek,Jording,Assistant Engineer,1985-09-01,1988-12-23
94270,Serge,Heuser,Staff,1985-04-21,1994-04-21
94287,Kiyokazu,Buchter,Senior Staff,1985-06-20,9999-01-01
94313,Menkae,Birdsall,Senior Engineer,1985-03-14,9999-01-01
94322,Ronnie,Moffat,Engineer,1985-09-29,1993-09-29
94342,Ramalingam,Demizu,Engineer,1985-05-14,1990-05-14
94382,Bogdan,Eugenio,Engineer,1985-07-14,1991-03-22
94419,Felicidad,Socorro,Senior Staff,1985-10-22,9999-01-01
94501,Toshimori,Velasco,Staff,1985-08-04,1994-08-04
94521,Deborah,Schlegelmilch,Staff,1985-07-10,1993-07-10
94531,Kannan,Bahl,Staff,1985-03-05,1993-03-05
94553,Otilia,Basawa,Staff,1985-11-11,1985-11-19
94574,Abdelghani,Dulli,Staff,1985-09-09,1991-09-09
94666,Gudjon,Denti,Engineer,1985-08-15,1994-08-15
94704,Rimon,Thombley,Assistant Engineer,1985-06-07,1991-06-07
94768,Geoffrey,Brattka,Staff,1985-03-04,1994-03-04
94777,Zongyan,Clemencon,Engineer,1985-08-02,1986-10-26
94833,Miyeon,Kleiser,Staff,1985-04-01,1991-04-01
95147,Shietung,Gecsel,Assistant Engineer,1985-06-25,1990-06-25
95153,Guangming,Kawashima,Engineer,1985-12-16,1993-12-16
95159,Yechiam,Kusalik,Staff,1985-07-08,1994-07-08
95200,Guenter,Kalefeld,Assistant Engineer,1985-10-13,1990-10-13
95257,Shih,Ratzlaff,Technique Leader,1985-04-06,9999-01-01
95376,Vishu,Docker,Engineer,1985-11-23,1991-11-23
95393,Udaiprakash,Magliocco,Assistant Engineer,1985-05-02,1994-05-02
95428,Shuzo,Conde,Staff,1985-08-09,1991-08-09
95625,Bogdan,Negoita,Senior Engineer,1985-05-04,9999-01-01
95645,Sudharsan,Binkley,Staff,1985-06-11,1990-06-11
95767,Muzhong,Schmiedel,Engineer,1985-02-02,1992-02-03
95786,Dharmaraja,Peral,Engineer,1985-09-25,1990-09-25
95867,Shakhar,Meszaros,Staff,1985-02-02,1991-02-02
95939,Kiyokazu,Ozeri,Staff,1985-03-29,1990-03-29
95943,Guozhong,Luit,Staff,1985-05-28,1991-05-28
95946,Kellie,Ertl,Staff,1985-02-20,1991-02-20
96046,Urs,Alpin,Staff,1985-06-02,1990-06-02
96085,Shin,Leuchs,Engineer,1985-06-11,1990-06-11
96157,Kwangyoen,Haldar,Staff,1985-10-14,1990-10-14
96162,Tokuyasu,Dehkordi,Staff,1985-08-31,1992-08-31
96224,Manu,Panienski,Staff,1985-10-06,1993-10-06
96261,Godehard,Kroft,Staff,1985-07-19,1991-07-19
96299,Cullen,Perko,Staff,1985-03-04,1990-03-04
96308,Nigel,Aingworth,Staff,1985-02-02,1993-02-02
96314,Anneke,Birjandi,Staff,1985-09-02,1987-08-13
96318,Berhard,Andreotta,Staff,1985-10-23,1990-10-23
96324,Alejandro,Bharadwaj,Engineer,1985-05-01,1994-05-01
96376,Sachio,Stassinopoulos,Technique Leader,1985-09-20,9999-01-01
96495,Kerryn,Navazio,Technique Leader,1985-10-02,1986-08-14
96521,Gro,Imataki,Staff,1985-11-18,1993-11-18
96524,George,Brodie,Technique Leader,1985-12-10,9999-01-01
96556,Guttorm,Penn,Staff,1985-10-19,1992-10-19
96587,Yaghout,Kobara,Engineer,1985-12-11,1993-12-11
96609,Bowen,Kemmerer,Engineer,1985-04-20,1992-04-20
96678,Marit,Baak,Staff,1985-04-29,1991-04-29
96769,Arun,Parascandalo,Staff,1985-06-22,1991-06-22
96846,Tran,Merel,Staff,1985-12-03,1990-12-03
96853,Maha,Rissanen,Engineer,1985-07-13,1992-07-13
96865,Josyula,Ulupinar,Engineer,1985-12-25,1994-12-25
96885,Weiwu,Kitai,Staff,1985-10-04,1992-10-04
96919,Khaled,Granlund,Staff,1985-03-10,1990-03-10
96958,Shaowen,Shihab,Senior Staff,1985-05-20,9999-01-01
96969,Chinhyun,Fraisse,Staff,1985-06-22,1989-06-25
96989,Youpyo,Shobatake,Staff,1985-11-11,1993-11-11
97015,Snehasis,Asser,Engineer,1985-12-20,1991-12-20
97114,Paraskevi,Monkewich,Engineer,1985-04-07,1994-04-07
97223,Zejun,Wuwongse,Staff,1985-04-14,1994-04-14
97241,Maik,Decaestecker,Engineer,1985-05-29,1994-05-29
97275,Jiakeng,Kemmerer,Staff,1985-12-30,1993-12-30
97525,Shih,Krider,Technique Leader,1985-03-03,9999-01-01
97660,Mantis,Pramanik,Staff,1985-05-05,1992-05-05
97666,Spyrose,Alencar,Senior Staff,1985-03-20,1992-09-02
97682,Alejandra,Gulik,Staff,1985-07-05,1990-07-05
97740,Stevo,Bernardinello,Staff,1985-08-22,1991-08-22
97770,Horward,Keustermans,Staff,1985-07-28,1992-07-28
97866,Tse,Chandrasekhar,Technique Leader,1985-07-10,1991-02-06
97885,Seshu,Edelhoff,Staff,1985-12-17,1994-12-17
97948,Henk,Geffroy,Senior Staff,1985-09-03,9999-01-01
97985,Dekang,Botman,Senior Engineer,1985-05-01,9999-01-01
98017,Sachio,Gils,Staff,1985-05-21,1991-05-21
98054,Berry,Conry,Senior Engineer,1985-09-18,9999-01-01
98233,Hausi,Trogemann,Senior Staff,1985-02-19,9999-01-01
98236,Shen,Talmor,Senior Engineer,1985-02-25,1990-04-25
98240,Martien,Stifter,Staff,1985-06-05,1993-06-05
98358,Basim,Aingworth,Engineer,1985-12-26,1992-12-26
98430,Fay,Langford,Engineer,1985-05-16,1994-05-16
98436,Akeel,Khalid,Engineer,1985-05-15,1991-05-15
98444,Arra,Lubachevsky,Senior Staff,1985-11-06,9999-01-01
98457,Bezalel,Standera,Senior Staff,1985-08-28,9999-01-01
98476,Constantine,Bade,Staff,1985-05-27,1990-05-27
98478,Baruch,Heystek,Senior Engineer,1985-03-22,9999-01-01
98495,Duke,Showalter,Staff,1985-04-23,1994-04-23
98604,Tremaine,Reeken,Engineer,1985-02-04,1988-05-09
98699,Karsten,Koyama,Staff,1985-03-16,1993-03-16
98745,Zhanqiu,Kitsuregawa,Senior Engineer,1985-10-24,9999-01-01
98795,Pasqua,Hertweck,Staff,1985-09-28,1991-09-28
98813,Surveyors,Peck,Engineer,1985-11-13,1993-11-13
98861,George,Bellmore,Staff,1985-06-20,1991-06-20
98905,Nikolaos,Negoita,Senior Engineer,1985-09-13,9999-01-01
98927,Eirik,Shigei,Staff,1985-05-22,1994-04-11
98987,Dipayan,Suermann,Engineer,1985-09-13,1992-09-13
99014,Adly,Siprelle,Staff,1985-12-11,1991-12-11
99173,Evgueni,Engberts,Senior Engineer,1985-10-19,1986-07-20
99210,Irene,Morrin,Engineer,1985-05-19,1991-05-19
99274,Taizo,Schurmann,Senior Engineer,1985-06-14,9999-01-01
99313,Masasuke,Caine,Staff,1985-04-02,1991-04-02
99371,Tokuyasu,Vuskovic,Engineer,1985-11-17,1991-11-17
99400,Hitomi,Decaestecker,Staff,1985-09-20,1994-09-20
99466,Margo,Schusler,Engineer,1985-07-27,1991-07-27
99560,Maris,Calkin,Senior Staff,1985-06-20,1998-06-29
99570,Xiaoheng,Rodham,Technique Leader,1985-11-21,1990-08-23
99592,Jayson,Rubsam,Staff,1985-04-28,1990-04-28
99643,Beshir,Babu,Staff,1985-05-03,1991-05-03
99649,Danny,Berstel,Engineer,1985-11-25,1993-11-25
99671,Tsuneo,Leppanen,Senior Staff,1985-06-10,9999-01-01
99681,Henk,Tramer,Senior Staff,1985-07-17,9999-01-01
99688,Christophe,Noriega,Staff,1985-03-01,1993-03-01
99705,Souichi,Bahr,Staff,1985-09-27,1993-09-27
99745,Girolamo,Highland,Engineer,1985-12-12,1994-12-12
99837,Dipayan,Anick,Senior Engineer,1985-11-28,9999-01-01
99845,Ebru,Matheson,Engineer,1985-02-17,1992-05-06
99876,Zhonghui,Angiulli,Senior Engineer,1985-10-21,1997-06-02
100022,Iara,Lindenbaum,Staff,1985-02-04,1990-02-04
100206,Arumugam,Wrigley,Senior Engineer,1985-03-29,9999-01-01
100300,Paraskevi,Lieblein,Engineer,1985-04-11,1992-04-11
100322,Janalee,Bahr,Senior Staff,1985-03-21,9999-01-01
100358,Lucian,Falby,Assistant Engineer,1985-04-17,1993-04-17
100406,Yoshinari,Coors,Staff,1985-10-11,1990-10-11
100444,Arno,Itzigehl,Senior Staff,1985-05-15,9999-01-01
100474,Valery,Sichman,Engineer,1985-11-28,1992-11-28
100497,Tze,Fortenbacher,Engineer,1985-04-06,1993-04-06
100516,Seongbae,Staudhammer,Assistant Engineer,1985-09-22,1990-09-22
100576,Xiaopeng,Gluchowski,Staff,1985-05-22,1986-05-14
100845,Bezalel,Angelov,Assistant Engineer,1985-03-12,1986-04-09
100960,Saniya,Candan,Assistant Engineer,1985-11-09,1990-11-09
100964,Arra,Mamelak,Assistant Engineer,1985-12-25,1991-12-25
100969,Falguni,Eugenio,Staff,1985-07-24,1990-03-08
100974,Adas,Ebeling,Assistant Engineer,1985-10-25,1994-10-25
101033,Zhiwei,Clemencon,Senior Staff,1985-02-13,9999-01-01
101034,Elgin,Tyugu,Engineer,1985-04-14,1991-04-14
101078,Fusako,Zedlitz,Senior Engineer,1985-02-05,9999-01-01
101122,Nahla,Swick,Staff,1985-03-11,1991-03-11
101123,Henk,Wossner,Senior Staff,1985-05-26,9999-01-01
101180,Subhada,Przulj,Senior Staff,1985-02-22,9999-01-01
101193,Fen,Rabejac,Engineer,1985-11-06,1993-11-06
101209,Xiaoheng,Backhouse,Staff,1985-10-29,1988-03-06
101239,Toshimori,Khalil,Senior Staff,1985-08-18,9999-01-01
101379,Ult,Lienhardt,Senior Staff,1985-10-14,1985-12-10
101490,Lein,Morrin,Staff,1985-07-06,1992-07-06
101501,Rosalie,Vecchi,Technique Leader,1985-12-26,9999-01-01
101519,Marek,Macedo,Engineer,1985-05-06,1991-05-06
101537,Luigi,Cyre,Senior Engineer,1985-09-28,9999-01-01
101558,Wojceich,Tischendorf,Senior Engineer,1985-02-24,9999-01-01
101626,Moheb,Vrecion,Staff,1985-11-28,1994-11-28
101721,Hidefumi,Cooke,Engineer,1985-08-10,1990-08-10
101774,Heekeun,Baba,Senior Engineer,1985-05-26,9999-01-01
101989,JiYoung,Plavsic,Engineer,1985-02-20,1991-02-20
102110,Mang,Christ,Staff,1985-09-27,1991-09-27
102217,Christ,Luks,Senior Engineer,1985-08-15,9999-01-01
102333,Kendra,Stamatiou,Staff,1985-03-05,1994-03-05
102336,Frazer,Schlenzig,Engineer,1985-06-14,1991-06-14
102430,Mamdouh,Openshaw,Assistant Engineer,1985-10-08,1990-10-08
102450,Elgin,Krupka,Engineer,1985-04-14,1993-04-14
102496,Ayonca,Hiraishi,Engineer,1985-07-06,1994-07-06
102515,Elvis,Quaggetto,Engineer,1985-03-04,1986-03-17
